Phylum,Subphylum ,Class,Order,Family,Genus
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Acroporidae,Acropora
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Acroporidae,Astreopora
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Acroporidae,Montipora
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Agariciidae,Gardineroseris
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Agariciidae,Pavona
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Astrocoeniidae,Stephanocoenia
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Cladiellidae,Cladiella
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Coscinaraeidae ,Coscinaraea
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Turbinaria
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Diploastreidae ,Diploastrea
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Euphylliidae,Galaxea
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Faviidae,Favia
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Fungiidae,Fungia
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,,Cladocora
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Lemnaliidae,Paralemnalia
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Lemnaliidae,Rhytisma
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Lobophylliidae,Acanthastrea
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Lobophylliidae,Echinophylia
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Lobophylliidae,Lobophyllia
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Merulinidae,Cyphastrea
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Merulinidae,Echinopora
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Merulinidae,Favites
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Merulinidae,Goniastrea
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Merulinidae,Leptoria
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Merulinidae,Mycedium
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Merulinidae,Platygyra
Cnidaria,Hydrozoa,Hydrozoa,Anthoathecata,Milleporidae,Milleporidae
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Montastraeidae,Montastraea
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Nephtheidae,Litophyton
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Nephtheidae,Stereonephthya
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Pocillopora
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Seriatopora
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Stylophora
Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Poritidae,Porites
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Pseudonephtheidae,Nephthea
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Sarcophytidae,Lobophytum
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Sarcophytidae,Sarcophyton
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Sarcophytidae,Sclerophytum
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Sinulariidae,Sinularia
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Xeniidae,Anthelia
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Xeniidae,Heteroxenia
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Xeniidae,Ovabunda
Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,Xeniidae,Xenia
